Scenario Name,Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Actual,1991 Q1,-1.9,2.0,1.0,3.1,6.6,3.0,6.0,7.7,8.2,10.4,9.5,9.2,3583.7,75.2,105.6,36.2
Actual,1991 Q2,3.2,6.2,2.9,5.2,6.8,2.4,5.6,7.8,8.3,10.1,9.5,8.7,3545.5,75.4,104.6,20.1
Actual,1991 Q3,2.0,5.3,1.6,4.4,6.9,3.1,5.4,7.5,8.1,9.8,9.3,8.4,3744.0,75.4,101.0,21.2
Actual,1991 Q4,1.4,3.8,3.4,6.4,7.1,3.4,4.5,6.7,7.5,9.2,8.7,7.6,4041.1,75.2,97.6,21.9
Actual,1992 Q1,4.9,6.4,8.3,11.0,7.4,2.7,3.9,6.7,7.5,8.9,8.7,6.5,3961.6,75.3,95.4,19.8
Actual,1992 Q2,4.4,6.9,4.0,6.8,7.6,3.1,3.7,6.7,7.5,8.6,8.7,6.5,3930.3,75.2,93.2,20.2
Actual,1992 Q3,4.0,6.1,1.9,4.5,7.6,3.1,3.1,5.7,6.9,7.9,8.0,6.0,4024.4,75.1,90.7,16.2
Actual,1992 Q4,4.2,7.1,1.8,4.7,7.4,3.6,3.1,6.0,7.0,8.1,8.2,6.0,4289.7,75.3,88.3,21.0
Actual,1993 Q1,0.7,2.9,1.5,3.9,7.1,2.9,3.0,5.5,6.5,7.7,7.7,6.0,4444.3,75.5,87.4,16.2
Actual,1993 Q2,2.4,4.8,1.2,4.0,7.1,2.9,3.0,5.2,6.2,7.2,7.5,6.0,4449.6,75.8,86.5,15.3
Actual,1993 Q3,1.9,4.4,0.3,2.1,6.8,1.9,3.0,5.0,5.8,6.8,7.1,6.0,4601.8,76.4,86.4,17.3
Actual,1993 Q4,5.6,7.9,2.8,5.2,6.6,3.4,3.1,5.0,5.8,6.7,7.0,6.0,4657.8,77.0,86.4,15.9
Actual,1994 Q1,3.9,5.9,2.7,4.1,6.6,2.0,3.3,5.5,6.2,7.1,7.3,6.0,4457.7,77.3,87.4,20.5
Actual,1994 Q2,5.5,7.6,4.1,6.4,6.2,2.3,4.0,6.7,7.2,8.2,8.4,6.9,4395.2,77.7,88.4,23.9
Actual,1994 Q3,2.4,4.7,2.4,5.3,6.0,3.8,4.5,6.9,7.4,8.4,8.6,7.5,4605.8,78.1,89.3,14.9
Actual,1994 Q4,4.7,7.0,5.9,7.9,5.6,2.3,5.3,7.6,7.9,8.9,9.1,8.1,4540.6,78.4,90.4,18.4
Actual,1995 Q1,1.4,3.6,3.5,5.5,5.5,3.0,5.7,7.4,7.6,8.6,8.8,8.8,4920.4,78.8,90.6,14.3
Actual,1995 Q2,1.2,3.2,1.1,3.5,5.7,3.3,5.6,6.4,6.7,7.7,7.9,9.0,5348.8,79.3,90.5,13.5
Actual,1995 Q3,3.4,5.5,3.7,5.4,5.7,2.0,5.4,6.1,6.5,7.4,7.7,8.8,5806.6,79.9,91.2,13.8
Actual,1995 Q4,2.7,4.7,2.4,4.2,5.6,2.2,5.3,5.7,6.0,7.0,7.3,8.7,6057.2,80.3,92.1,15.7
Actual,1996 Q1,3.0,5.0,3.8,6.2,5.5,3.6,4.9,5.6,6.0,6.9,7.3,8.3,6365.9,81.0,92.5,20.7
Actual,1996 Q2,6.8,8.6,3.7,6.5,5.5,3.5,5.0,6.5,6.8,7.7,8.1,8.3,6612.8,81.6,92.3,20.2
Actual,1996 Q3,3.6,5.0,3.3,5.1,5.3,2.3,5.1,6.5,6.8,7.7,8.1,8.3,6765.7,82.0,90.8,21.6
Actual,1996 Q4,4.2,6.5,2.2,5.0,5.3,3.5,5.0,6.1,6.4,7.2,7.7,8.3,7198.3,82.5,92.1,22.0
Actual,1997 Q1,2.6,5.1,3.9,5.7,5.2,2.5,5.1,6.4,6.6,7.4,7.8,8.3,7213.5,83.2,103.4,22.1
Actual,1997 Q2,6.8,7.7,3.6,4.6,5.0,0.9,5.0,6.6,6.8,7.5,7.9,8.5,8396.9,84.0,101.5,21.8
Actual,1997 Q3,5.1,6.9,4.8,5.9,4.9,2.0,5.0,6.1,6.4,7.1,7.5,8.5,9180.2,85.1,105.3,26.0
Actual,1997 Q4,3.5,4.8,6.0,7.4,4.7,2.2,5.1,5.9,6.0,6.9,7.2,8.5,9298.2,86.4,113.3,38.2
Actual,1998 Q1,4.1,4.7,8.7,8.7,4.6,0.8,5.1,5.6,5.7,6.7,7.1,8.5,10494.7,87.9,121.4,28.7
Actual,1998 Q2,3.8,4.7,5.6,6.4,4.4,1.3,5.0,5.6,5.8,6.7,7.1,8.5,10663.6,89.3,120.8,26.1
Actual,1998 Q3,5.1,6.9,4.1,5.4,4.5,2.1,4.8,5.2,5.4,6.8,6.9,8.5,9346.8,90.8,124.9,45.3
Actual,1998 Q4,6.6,7.8,3.2,4.3,4.4,1.9,4.3,4.6,4.9,6.8,6.8,7.9,11317.6,92.5,126.6,45.7
Actual,1999 Q1,3.8,5.4,3.7,4.7,4.3,1.5,4.4,5.0,5.4,6.9,6.9,7.8,11707.7,93.9,124.1,33.0
Actual,1999 Q2,3.1,4.6,0.9,3.1,4.3,3.0,4.5,5.5,5.8,7.3,7.2,7.8,12583.6,95.8,121.2,28.9
Actual,1999 Q3,5.3,6.8,2.8,5.0,4.2,3.0,4.7,5.9,6.2,7.8,7.8,8.1,11713.8,97.7,127.0,28.5
Actual,1999 Q4,7.0,9.3,6.1,8.7,4.1,3.0,5.0,6.1,6.5,8.0,7.8,8.4,13812.7,99.8,130.1,28.8
Actual,2000 Q1,1.5,4.2,7.9,11.5,4.0,4.0,5.5,6.6,6.7,8.3,8.3,8.7,14296.2,102.3,127.2,27.0
Actual,2000 Q2,7.5,10.2,4.5,6.4,3.9,3.2,5.7,6.5,6.4,8.6,8.3,9.2,13618.5,104.9,126.1,33.5
Actual,2000 Q3,0.5,2.8,4.7,7.3,4.0,3.7,6.0,6.1,6.1,8.2,8.0,9.5,13613.3,107.2,139.3,21.9
Actual,2000 Q4,2.5,4.7,1.4,3.7,3.9,2.9,6.0,5.6,5.8,8.0,7.6,9.5,12175.9,109.6,143.9,31.7
Actual,2001 Q1,-1.1,1.3,3.7,6.5,4.2,3.9,4.8,4.9,5.3,7.5,7.0,8.6,10645.9,112.1,143.0,32.8
Actual,2001 Q2,2.4,4.9,-0.7,1.2,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,11407.2,114.2,142.2,34.7
Actual,2001 Q3,-1.6,-0.1,9.6,9.8,4.8,1.1,3.2,4.6,5.3,7.2,7.0,6.6,9563.0,116.3,143.8,43.7
Actual,2001 Q4,1.1,2.4,-5.0,-4.7,5.5,-0.3,1.9,4.2,5.1,7.1,6.8,5.2,10707.7,118.3,139.3,35.3
Actual,2002 Q1,3.5,4.9,9.3,10.1,5.7,1.3,1.7,4.5,5.4,7.4,7.0,4.8,10775.7,120.4,139.4,26.1
Actual,2002 Q2,2.4,3.9,2.7,5.9,5.8,3.2,1.7,4.5,5.4,7.5,6.8,4.8,9384.0,123.5,139.8,28.4
Actual,2002 Q3,1.8,3.7,-0.3,1.6,5.7,2.2,1.6,3.4,4.5,7.2,6.3,4.8,7773.6,126.6,141.4,45.1
Actual,2002 Q4,0.6,2.9,2.4,4.3,5.9,2.4,1.3,3.1,4.3,6.9,6.1,4.5,8343.2,129.2,145.0,42.6
Actual,2003 Q1,2.2,4.1,0.9,3.8,5.9,4.2,1.2,2.9,4.2,6.2,5.8,4.3,8051.9,131.8,152.5,34.7
Actual,2003 Q2,3.5,4.7,5.0,5.1,6.1,-0.7,1.0,2.6,3.8,5.3,5.5,4.2,9342.4,134.7,151.4,29.1
Actual,2003 Q3,7.0,9.3,6.9,9.6,6.1,3.0,0.9,3.1,4.4,5.6,6.0,4.0,9649.7,138.6,149.5,22.7
Actual,2003 Q4,4.7,7.2,1.1,2.9,5.8,1.5,0.9,3.2,4.4,5.4,5.9,4.0,10799.6,143.1,147.6,21.1
Actual,2004 Q1,2.2,5.2,1.9,5.3,5.7,3.4,0.9,3.0,4.1,5.0,5.6,4.0,11039.4,148.1,153.9,21.6
Actual,2004 Q2,3.1,6.5,4.7,7.6,5.6,3.2,1.1,3.7,4.7,5.7,6.1,4.0,11144.6,153.8,163.6,20.0
Actual,2004 Q3,3.8,6.6,2.6,4.7,5.4,2.6,1.5,3.5,4.4,5.4,5.9,4.4,10893.8,159.2,174.6,19.3
Actual,2004 Q4,4.1,7.3,5.1,8.8,5.4,4.4,2.0,3.5,4.3,5.1,5.7,4.9,11951.5,165.1,178.5,16.6
Actual,2005 Q1,4.5,7.9,-4.6,-2.4,5.3,2.0,2.5,3.9,4.4,5.2,5.8,5.4,11637.3,171.9,179.5,14.7
Actual,2005 Q2,1.9,4.7,3.9,6.4,5.1,2.7,2.9,3.9,4.2,5.4,5.7,5.9,11856.7,178.7,185.0,17.7
Actual,2005 Q3,3.6,7.4,1.2,5.6,5.0,6.2,3.4,4.0,4.3,5.4,5.8,6.4,12282.9,184.8,191.1,14.2
Actual,2005 Q4,2.5,5.9,5.2,8.6,5.0,3.8,3.8,4.4,4.6,5.8,6.2,7.0,12497.2,190.2,198.7,16.5
Actual,2006 Q1,5.4,8.4,8.0,10.2,4.7,2.1,4.4,4.6,4.7,5.8,6.2,7.4,13121.6,193.2,204.4,14.6
Actual,2006 Q2,0.9,4.4,1.0,4.3,4.6,3.7,4.7,5.0,5.2,6.3,6.6,7.9,12808.9,192.6,212.5,23.8
Actual,2006 Q3,0.6,3.5,1.0,4.0,4.6,3.8,4.9,4.8,5.0,6.3,6.6,8.3,13322.5,191.2,220.7,18.6
Actual,2006 Q4,3.5,5.0,5.4,4.7,4.4,-1.6,4.9,4.6,4.7,6.0,6.2,8.3,14215.8,190.7,222.5,12.7
Actual,2007 Q1,0.9,5.0,3.4,7.4,4.5,4.0,5.0,4.6,4.8,6.0,6.2,8.3,14354.0,188.6,230.6,19.6
Actual,2007 Q2,2.3,5.0,1.0,4.3,4.5,4.6,4.7,4.7,4.9,6.2,6.4,8.3,15163.1,183.3,239.7,18.9
Actual,2007 Q3,2.2,4.3,0.4,2.6,4.7,2.6,4.3,4.5,4.8,6.5,6.6,8.2,15317.8,177.8,247.7,30.8
Actual,2007 Q4,2.5,4.1,0.3,4.3,4.8,5.0,3.4,3.8,4.4,6.3,6.2,7.5,14753.6,172.2,247.4,31.1
Actual,2008 Q1,-2.3,-0.8,1.1,4.6,5.0,4.4,2.1,2.8,3.9,6.4,5.9,6.2,13284.1,165.3,234.7,32.2
Actual,2008 Q2,2.1,4.3,7.5,12.0,5.3,5.3,1.6,3.2,4.1,6.7,6.1,5.1,13016.4,157.6,224.0,24.1
Actual,2008 Q3,-2.1,0.8,-8.1,-4.3,6.0,6.3,1.5,3.1,4.1,7.1,6.3,5.0,11826.0,150.4,230.4,46.7
Actual,2008 Q4,-8.4,-7.2,3.5,-2.5,6.9,-8.9,0.3,2.2,3.7,9.7,5.8,4.1,9056.7,142.8,219.5,80.9
Actual,2009 Q1,-4.4,-4.5,-1.7,-4.0,8.3,-2.7,0.2,1.9,3.2,9.1,5.1,3.3,8044.2,138.6,211.9,56.7
Actual,2009 Q2,-0.6,-1.2,4.4,6.3,9.3,2.1,0.2,2.3,3.7,8.1,5.0,3.3,9342.8,138.5,180.8,42.3
Actual,2009 Q3,1.5,1.9,-4.4,-1.8,9.6,3.5,0.2,2.5,3.8,6.5,5.2,3.3,10812.8,139.1,161.8,31.3
Actual,2009 Q4,4.5,5.9,-0.1,3.0,9.9,3.2,0.1,2.3,3.7,5.8,4.9,3.3,11385.1,139.6,158.4,30.7
Actual,2010 Q1,1.5,2.6,2.3,3.7,9.8,0.6,0.1,2.4,3.9,5.6,5.0,3.3,12032.5,139.6,153.9,27.3
Actual,2010 Q2,3.7,5.7,6.8,7.2,9.6,-0.1,0.1,2.3,3.6,5.4,4.9,3.3,10645.8,138.7,167.1,45.8
Actual,2010 Q3,3.0,4.2,2.9,3.6,9.5,1.2,0.2,1.6,2.9,4.8,4.4,3.3,11814.0,136.1,167.8,32.9
Actual,2010 Q4,2.0,4.3,2.3,4.8,9.5,3.3,0.1,1.5,3.0,4.7,4.4,3.3,13131.5,134.8,168.3,23.5
Actual,2011 Q1,-1.0,1.2,4.1,7.8,9.0,4.3,0.1,2.1,3.5,5.0,4.8,3.3,13908.5,133.6,172.2,29.4
Actual,2011 Q2,2.9,5.6,-0.9,3.1,9.1,4.6,0.0,1.8,3.3,4.8,4.7,3.3,13843.5,133.1,173.4,22.7
Actual,2011 Q3,-0.1,2.5,1.8,3.7,9.0,2.6,0.0,1.1,2.5,4.5,4.3,3.3,11676.5,133.7,169.1,48.0
Actual,2011 Q4,4.7,5.4,1.2,2.6,8.6,1.8,0.0,1.0,2.1,4.8,4.0,3.3,13019.3,133.7,176.5,45.5
Actual,2012 Q1,3.2,5.8,7.7,10.7,8.3,2.3,0.1,0.9,2.1,4.4,3.9,3.3,14627.5,135.2,181.0,23.0
Actual,2012 Q2,1.7,3.3,3.7,4.7,8.2,0.8,0.1,0.8,1.8,4.3,3.8,3.3,14100.2,138.4,178.3,26.7
Actual,2012 Q3,0.5,2.6,-2.8,-1.7,8.0,1.8,0.1,0.7,1.6,3.9,3.6,3.3,14894.7,141.2,183.3,20.5
Actual,2012 Q4,0.5,2.5,11.5,14.1,7.8,2.7,0.1,0.7,1.7,3.6,3.4,3.3,14834.9,144.2,184.3,22.7
Actual,2013 Q1,3.6,5.3,-15.1,-13.9,7.7,1.6,0.1,0.8,1.9,3.7,3.5,3.3,16396.2,147.8,188.2,19.0
Actual,2013 Q2,0.5,1.7,3.0,3.3,7.5,-0.4,0.1,0.9,2.0,3.8,3.7,3.3,16771.3,151.7,197.3,20.5
Actual,2013 Q3,3.2,5.2,1.7,3.4,7.2,2.2,0.0,1.5,2.7,4.7,4.4,3.3,17718.3,155.4,207.7,17.0
Actual,2013 Q4,3.2,5.7,1.6,3.3,6.9,1.5,0.1,1.4,2.8,4.5,4.3,3.3,19413.2,158.5,211.7,20.3
Actual,2014 Q1,-1.1,0.5,5.7,7.7,6.7,2.5,0.0,1.6,2.8,4.4,4.4,3.3,19711.2,160.5,209.3,21.4
Actual,2014 Q2,5.5,7.9,5.6,7.6,6.2,2.1,0.0,1.7,2.7,4.0,4.2,3.3,20568.7,161.6,214.6,17.0
Actual,2014 Q3,5.0,6.8,4.8,5.9,6.1,1.0,0.0,1.7,2.5,3.9,4.1,3.3,20458.8,163.7,218.2,17.0
Actual,2014 Q4,2.3,2.9,5.4,4.9,5.7,-1.0,0.0,1.6,2.3,4.0,4.0,3.3,21424.6,166.2,226.3,26.3
Actual,2015 Q1,3.9,3.5,6.1,4.3,5.5,-2.6,0.0,1.5,2.0,3.9,3.7,3.3,21707.6,168.3,239.4,22.4
Actual,2015 Q2,2.7,5.0,1.1,3.2,5.4,2.8,0.0,1.5,2.2,3.9,3.8,3.3,21630.9,170.3,242.5,18.9
Actual,2015 Q3,1.5,2.7,2.8,3.9,5.1,1.5,0.0,1.6,2.3,4.3,4.0,3.3,19959.3,172.7,244.9,40.7
Actual,2015 Q4,0.6,0.7,2.3,2.0,5.0,0.0,0.1,1.6,2.2,4.4,3.9,3.3,21100.9,175.1,245.6,24.4
Actual,2016 Q1,2.3,2.0,3.1,3.4,4.9,-0.1,0.3,1.4,2.0,4.5,3.7,3.5,21179.4,177.3,238.1,28.1
Actual,2016 Q2,1.3,4.1,-0.3,2.1,4.9,2.9,0.3,1.3,1.8,3.9,3.6,3.5,21621.5,179.3,242.2,25.8
Actual,2016 Q3,2.2,3.6,1.9,3.6,4.9,1.9,0.3,1.2,1.6,3.5,3.4,3.5,22468.6,181.8,253.4,18.1
Actual,2016 Q4,2.5,4.6,2.5,4.4,4.8,2.6,0.4,1.7,2.2,3.9,3.8,3.5,23276.7,184.7,256.7,22.5
Actual,2017 Q1,2.3,4.4,4.3,6.6,4.6,2.8,0.6,2.0,2.5,4.0,4.2,3.8,24508.3,187.1,254.5,13.1
Actual,2017 Q2,1.7,3.0,4.4,5.3,4.4,0.4,0.9,1.8,2.3,3.8,4.0,4.0,25125.0,189.7,262.9,16.0
Actual,2017 Q3,2.9,5.0,2.7,4.4,4.3,2.2,1.0,1.8,2.3,3.7,3.9,4.3,26148.5,192.7,267.1,16.0
Actual,2017 Q4,3.9,6.7,2.3,5.0,4.1,3.1,1.2,2.1,2.4,3.7,3.9,4.3,27673.2,195.8,276.2,13.1
Actual,2018 Q1,3.8,6.2,5.2,8.0,4.0,3.2,1.6,2.5,2.8,4.1,4.3,4.5,27383.0,198.9,271.7,37.3
Actual,2018 Q2,2.7,6.3,3.6,5.9,3.9,2.2,1.8,2.8,2.9,4.5,4.5,4.8,28313.8,201.2,286.0,23.6
Actual,2018 Q3,2.1,3.8,3.3,4.9,3.8,2.1,2.0,2.8,2.9,4.5,4.6,5.0,30189.6,203.0,277.7,16.1
Actual,2018 Q4,1.3,3.3,2.8,4.2,3.8,1.3,2.3,2.9,3.0,4.8,4.8,5.3,25724.5,204.7,279.0,36.1
Actual,2019 Q1,2.9,4.0,3.3,3.9,3.9,0.9,2.4,2.5,2.7,4.5,4.4,5.5,29193.9,206.5,286.8,25.5
Actual,2019 Q2,1.5,4.1,-1.0,1.5,3.7,3.0,2.3,2.1,2.4,4.0,4.0,5.5,30243.8,208.5,300.9,20.6
Actual,2019 Q3,2.6,4.0,2.1,3.5,3.6,1.8,2.0,1.7,1.8,3.4,3.7,5.3,30441.8,210.2,308.7,24.6
Actual,2019 Q4,2.4,3.9,1.9,3.4,3.6,2.4,1.6,1.6,1.8,3.3,3.7,4.8,33035.4,212.5,300.9,20.6
Actual,2020 Q1,-5.0,-3.4,2.6,3.9,3.8,1.2,1.1,1.2,1.4,3.4,3.5,4.4,25984.8,215.1,302.4,82.7
Actual,2020 Q2,-31.4,-32.8,48.5,46.2,13.1,-3.5,0.1,0.4,0.7,3.4,3.2,3.3,31576.8,218.3,303.5,57.1
Actual,2020 Q3,33.4,38.3,-16.3,-13.2,8.8,5.2,0.1,0.3,0.6,2.4,3.0,3.3,34305.8,223.2,300.1,33.6
Actual,2020 Q4,3.7,5.5,-8.1,-7.5,6.8,2.2,0.1,0.4,0.9,2.3,2.8,3.3,39219.6,225.0,297.1,40.3
