gvkey,fyear,at,ebit,ebitda,ni,ppent,sale,naics
001794,2017.0,8618.0,259.0,542.0,1.0,1970.0,3260.0,3252
001820,2017.0,122.313,4.347,8.341,3.286,9.752,113.401,334118
001823,2017.0,735.956,46.597,72.997,19.679,125.83,624.464,336320
001828,2017.0,21775.0,1162.0,1800.0,203.0,17646.0,4425.0,221210
001837,2017.0,22987.0,665.0,1166.0,243.0,11728.0,3920.0,221210
001864,2017.0,478.864,22.601,44.063,39.706,197.827,452.586,325193
001878,2017.0,4113.6,-393.6,-289.4,-566.9,145.0,2056.6,519130
001891,2017.0,37180.0,2405.9,2722.0,1733.4,779.9,12379.8,518210
001906,2017.0,1010.144,36.917,40.766,-21.936,32.664,843.253,236117
001913,2017.0,5136.9,689.0,863.5,281.8,1097.9,6613.8,322220
001919,2017.0,9699.589,598.815,754.175,525.278,519.575,17439.963,423690
001920,2017.0,3697.9,352.3,464.2,22.0,715.2,5715.6,325620
001926,2017.0,1028.209,48.248,98.774,45.169,216.855,810.43,335122
001932,2017.0,190810.31,9389.126,10280.687,50778.396,6604.858,27453.047,312230
001949,2017.0,993.897,14.221,,13.6,,105.387,531110
001949,2017.0,993.897,,,,,,531110
001968,2017.0,391.727,55.622,77.278,34.571,93.601,402.44,334514
001979,2017.0,963.636,97.664,141.569,90.071,189.793,594.79,325412
001982,2017.0,1357.016,,,,47.317,,524126
001982,2017.0,1357.016,-2.347,3.405,18.323,47.317,358.765,524126
001988,2017.0,17169.0,1023.0,1752.0,374.0,4610.0,10983.0,332431
002002,2017.0,44277.337,,,,547.142,,522110
002002,2017.0,44277.337,904.676,962.418,107.681,547.142,2145.111,522110
002005,2017.0,17089.052,,,,130.926,,522110
002005,2017.0,17089.052,352.557,365.605,184.672,130.926,689.211,522110
002019,2017.0,371758.0,7311.0,8785.0,4090.0,1634.0,16617.0,522110
002019,2017.0,371758.0,,,,1634.0,,522110
002049,2017.0,2365.716,212.795,302.704,59.415,359.298,1436.499,332613
002052,2017.0,33.02,-1.501,0.135,1.171,5.419,12.937,2111
002055,2017.0,25308.0,2541.0,4310.0,1438.0,14041.0,8374.0,212221
002080,2017.0,293.748,27.391,41.427,18.256,105.002,452.503,337122
002086,2017.0,17111.0,1532.0,2275.0,717.0,4588.0,10561.0,325412
002101,2017.0,1387.595,172.99,212.667,133.91,108.068,2593.746,423830
002111,2017.0,37734.0,2243.0,3182.0,1100.0,4638.0,12093.0,339112
002124,2017.0,431.265,17.824,38.542,-11.897,43.495,491.611,334416
002136,2017.0,257143.0,27206.0,43936.0,30101.0,88568.0,126034.0,517312
002137,2017.0,54263.0,5328.0,9178.0,2914.0,24033.0,22719.0,517311
002154,2017.0,3699.9,361.9,531.7,94.0,1318.1,4046.2,326112
002176,2017.0,702095.0,26294.0,35482.0,44940.0,158219.0,242137.0,999977
002176,2017.0,702095.0,,,,158219.0,,999977
002184,2017.0,13049.0,1953.0,2636.0,1000.0,2421.0,42151.0,443142
002220,2017.0,4273.012,138.956,287.638,122.249,493.496,2160.153,334516
002240,2017.0,0.021,-0.295,-0.295,-0.488,0.0,0.006,334510
002259,2017.0,6658.902,421.136,609.382,177.034,4541.43,1680.266,2211
002269,2017.0,3140.949,752.05,935.345,613.149,231.888,3159.931,541213
002270,2017.0,14625.9,119.8,564.6,-303.7,12873.7,1843.0,213111
002277,2017.0,30.018,-1.53,-0.838,-1.227,20.941,6.116,531
002285,2017.0,92333.0,10123.0,11911.0,8197.0,12672.0,93392.0,336411
002312,2017.0,1867.454,515.717,581.21,290.584,144.887,5266.789,561320
002316,2017.0,2097.0,191.0,306.0,-234.0,924.0,3591.0,325211
002337,2017.0,4147.0,145.0,349.0,-84.0,1716.0,3513.0,322121
002342,2017.0,29.626,3.262,4.236,2.451,18.861,23.933,713950
